Ticker,Company Name,Sector,Industry,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
ACMESOLAR.NS,,Utilities,Utilities - Renewable,,4.6370564,497.018,,
ADANIENSOL.NS,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,157.4949,4.4266987,178.762,0.01798,0.05224
ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,50.37583,6.9996796,168.936,0.1364,0.03809
ADANIGREEN.NS,Adani Green Energy Limited,Utilities,Utilities - Renewable,163.9699,17.308496,306.013,0.11395001,0.04514
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,25.074692,4.502133,85.449,0.17819999,0.06685
ADANIPOWER.NS,Adani Power Limited,Utilities,Utilities - Independent Power Producers,16.172602,3.6561043,65.013,0.25756,0.10594
ADFFOODS.NS,ADF Foods Limited,Consumer Defensive,Packaged Foods,43.727524,7.500949,11.537,0.17274,0.10297
ADL.NS,Archidply Decor Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",172.73215,1.0608919,43.355,,
ADORWELD.NS,Ador Welding Limited,Industrials,Specialty Industrial Machinery,32.529415,4.25407,12.145,,
ADROITINFO.NS,Adroit Infotech Limited,Technology,Information Technology Services,15.651164,0.89877135,28.292,0.1162,0.05396
ADSL.NS,Allied Digital Services Limited,Technology,Information Technology Services,30.314861,2.5757916,10.869,0.07776,0.05303
ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,Lodging,27.62903,8.810595,2.748,,
ADVENZYMES.NS,Advanced Enzyme Technologies Limited,Basic Materials,Specialty Chemicals,29.138071,2.968694,3.378,0.10474,0.07001
AEGISLOG.NS,,Energy,Oil & Gas Refining & Marketing,48.11747,6.799493,92.2,0.15681,0.06091
AEROFLEX.NS,Aeroflex Industries Limited,Industrials,Metal Fabrication,57.382023,8.330139,0.233,0.15298,0.09717
AETHER.NS,Aether Industries Limited,Basic Materials,Specialty Chemicals,143.29805,5.466502,10.142,0.03867,0.02558
AFCONS.NS,,Industrials,Engineering & Construction,43.086674,4.993178,93.718,,
AFFLE.NS,Affle (India) Limited,Communication Services,Advertising Agencies,72.582016,9.3238325,4.998,0.15991001,0.0726
AFIL.NS,,Financial Services,Credit Services,24.212042,1.1788023,57.139,,
AGARIND.NS,Agarwal Industrial Corporation Limited,Basic Materials,Specialty Chemicals,15.739457,3.7911248,70.608,,
AGI.NS,AGI Greenpac Limited,Consumer Cyclical,Packaging & Containers,28.715185,4.0140905,31.717,0.14814,0.07876
AGIIL.NS,AGI Infra Limited,Real Estate,Real Estate - Development,39.68594,9.929793,61.287,,
AGRITECH.NS,Agri-tech (India) Limited,Consumer Defensive,Farm Products,12.402859,,,,
AGROPHOS.NS,Agro Phos (India) Limited,Basic Materials,Agricultural Inputs,,1.7989329,1.383,,
AGSTRA.NS,AGS Transact Technologies Limited,Technology,Software - Infrastructure,94.11268,1.5168438,199.958,0.01816,0.02585
AHL.NS,Abans Holdings Limited,Financial Services,Capital Markets,14.187856,1.4728699,91.775,,
AHLADA.NS,Ahlada Engineers Limited,Industrials,Building Products & Equipment,9.080492,0.9010524,31.217,,
AHLEAST.NS,Asian Hotels (East) Limited,Consumer Cyclical,Lodging,12.483541,1.264711,134.508,0.10699,0.062140003
AHLUCONT.NS,Ahluwalia Contracts (India) Limited,Industrials,Engineering & Construction,20.741617,4.4029107,6.564,,
AIAENG.NS,AIA Engineering Limited,Industrials,Specialty Industrial Machinery,29.605732,4.873239,1.967,0.16832,0.09503
AIIL.NS,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets,6.943415,2.2017252,6.974,0.40877,0.35314998
